Date,entireTweets,
2020-04-20 3:05:30,"RT @PekeTardivo: Todos subiendo fotos de ollas Essen, que onda hubo saqueo y no me avisaron?",
2020-04-20 2:55:46,"Todos subiendo fotos de ollas Essen, que onda hubo saqueo y no me avisaron?",
2020-04-20 2:46:04,"RT @RubenAriel_: @rch36769483 @DahianaBritosOk Pero para estas situaciones tardan meses, a pero si twiteas SAQUEO te meten preso enseguida.…",
2020-04-20 1:38:51,RT @ale_turner: @NoelVecchio @arilijalad Acabás de escribir saqueo vos también. ¿Deberían procesarte?,
2020-04-20 1:21:23,"@santiagfuentes1 en saqueo, en el otro modo si nos re cagamos a tiros",
2020-04-19 20:03:14,jugar saqueo es re de trolo perdonen,
2020-04-19 19:48:15,@CrissGodoyy Pinta saqueo perritoo,
2020-04-19 19:02:13,"RT @hanalfabeto: Mirá si en lugar de saqueo hubieran monitoreado ""poné el gancho que ya está todo cocinado""... teníamos a la mitad del go…",
2020-04-19 18:51:26,RT @heliotropos_: ¡Qué tiempos! Ahora te patrullan las redes y si escribís saqueo te caen con la gendarmería en tu casa. https://t.co/C52…,
2020-04-19 18:27:33,"@rch36769483 @DahianaBritosOk Pero para estas situaciones tardan meses, a pero si twiteas SAQUEO te meten preso enseguida... una lastima",
2020-04-19 13:04:07,@Lupo55 Y la Ministra de Seguridad del gobierno “nacional y popular” hace ciberpatrullaje y detiene twitteros por escribir “saqueo”. Al final parece que tenia razon la izquierda cuando decia que son lo mismo jajajajaja,
2020-04-19 12:43:58,RT @LopNahuel: @Activision  me parece muy mala idea sacar el cuarteto de saqueo en warzone,
2020-04-19 4:52:00,"RT @NicxMvnsi: Queridos seguidores:Al escribir esto estoy paranoico, el gobierno proceso a un pibe por twitear saqueo y FUE CIBERPATRULLAD…",
2020-04-19 4:36:30,Abuelo como comenzó la 3ra guerra mundial??-todo empezó por un murciélago #CoronavirusEnArgentina #COVID__19 #saqueo #terceraguerramudial,
2020-04-19 4:36:09,"RT @MoniOeste: #saqueo  cuando H. de Bonafini le deseó la muerte a la hija de Macri, no fue delito??  Cuando lo insultaban y era el preside…",
2020-04-19 4:28:42,Les pinto el saqueo en el barrio jajaj,
2020-04-19 4:24:12,Pagar por ver lo que pagaron otros con sangre con saqueo y dolor,
2020-04-19 2:14:06,"El gobierno de @alferdez le inicio una causa a imberbe por tuitear algo de un saqueo q a las claras se notaba q era un chiste. Criticable desde cualquier punto de vista. Ahora en television se dicen barbaridades altamente irresponsables sobre la cuarentena y ni una consecuencia""",
2020-04-19 0:58:50,Pinta saqueo o que?? Somo giles o que onda?,
2020-04-18 23:50:24,A un pibe lo detienen la policía cibernética por decir saqueo quedando como buenas personas y yo me preguntó que hacía la policía cuando desapareció Camila ¿ Comiendo donas ? Y no soy árbitro pero saben bien a qué me referí .Barras...,
2020-04-18 23:48:09,"@blondaperoncha Quieren crear una terminación de la grieta, que en realidad los q sufrimos realmente los últimos 4 años todavía pedimos justicia x el saqueo de los que se fueron y ahora están mas libres q nunca. Pero TN le sigue tirando mierda a CFK y L5N+ halaga a larreta",
2020-04-18 23:41:51,@nachitothetowe1 SAQUEO,
blan más de las condiciones en que estaba la provincia. El blindaje es total," hay q seguir dándole batalla al cerco mediático que tiene""",
2020-04-18 20:20:12,"@santikorovsky Si, pero decile que no haga instigación al saqueo",
2020-04-18 18:50:41,"Le aclaro a los fascistas ciberpatrulleros de Nación que no estoy incitando a ningún saqueo, solo sigo las normas de los fascistas de CABA https://t.co/kcOQr8BAhE",
2020-04-18 17:59:46,@Sietecase Tampoco avalamos el saqueo monumental de la hoy vicepresidente y sus secuaces  y ya ves... #SomosIndigentesMentales,
2020-04-18 17:37:07,[18/4 1:42 p. m.] Aity: pinta saqueo[18/4 1:42 p. m.] Aity: me quedé sin cigarrillos[18/4 1:42 p. m.] Aity: jajajajajajaja,
2020-04-18 17:22:24,"@ajdksiaodak De el nuevo gobierno de momento no ha sonado ningún saqueo. Luego mira que pasa con la auto-regulación del mercado y el precio de mascarillas y geles desinfectantes. El gobierno está para cubrir y gobernar el territorio, no para proteger la riqueza de algunos.",
2020-04-18 17:01:22,"En Crisis, Chile depende d la caridad d magnates enriquecidos con el saqueo de empresas y recursos del Estado como @aluksicc que le pagan a una línea aérea privada para que haga el transporte. Nada de patriotismo, solo negocios. En cambio Argentina... https://t.co/m9OAhx6zTZ https://t.co/mU88OezOP2",
2020-04-18 16:35:38,@mis2centavos Empezó el saqueo de teclas (?).,
2020-04-18 16:24:15,En cualquier momento ARRANCAN los Saqueo en Argentina... https://t.co/No85C0TZxB,
2020-04-18 15:53:23,"@kilowu @MatiasMey @cremadelcielo Que haces globerto aparecen a opinar dar concejos,el único concejo que podes dar es el de la fuga y del saqueo,llamate al silencio  idiota útil",
2020-04-18 15:47:37,"@McIntenso Todo sea por EXTERMINARLOS. Si queres participar del SAQUEO avisa, no les voy a dejar ni un vino a los come bichos estos",
2020-04-18 15:33:14,"RT @olimEi: Mis Pelotudos Favoritos d Día Nuevamente (aunq lamentable) son esos genios q no satisfechos c haber votado esta Banda Mafiosa,…",
2020-04-18 14:50:07,RT @DameElDiezmo: @nocorruptsuru @Indiogorugua Los globalistas vieron en la comunista China La posibilidad de hacer todo lo que quieran…,
2020-04-18 14:39:36,@alibrancfk @antoniogiangro5 Los quiero PRESOS en cárcel común.. Son CÓMPLICES del saqueó..#CorteVendePatria #ParenAlEmpresariado #PatriaMilitante https://t.co/ZmUYWXA5OL,
2020-04-18 14:35:38,"@SabinaFrederic Ministra, por qué van a buscar a la casa a uno que twitteó saqueo con toda la logística necesaria, pero jamás buscan al que escribe ""te voy a matar hija de puta, sos mía o de nadie"", tiene 5 denuncias y todes sabemos dónde vive?No se están equivocando en grande?",
2020-04-18 14:11:17,"La mejor prueba de q somos lo suficientemente civilizados como para no “tener” q ser dirigidos por nadie, es q luego de décadas de saqueo, mentiras, incompetencia, etc, etc por parte de los políticos, ellos aún siguen en el poder con privilegios y lucrándose a costa nuestra.",
2020-04-18 14:05:58,@santosjorgeh Está invertido el orden de importancia.1.Corrupción de nuestros gobernantes (lo sufrimos hace décadas).2. Es consecuencia de la 1.: Económica (despilfarro y saqueo de los recursos del Estado y del PBI).3. Coronavirus: 1. y 2.: gracias a eso no tenemos para hacerle frente.,
2020-04-18 13:04:43,RT @FerPereaM: La más eficiente evolución del estatismo fue estatizar el comercio en vez de las empresas. Esto permitió mantener un mínimo…,
2020-04-18 12:54:15,@infobae Pero no dijeron SAQUEO asi que vayan a casa sin hacer más lío.,
2020-04-18 12:51:00,La más eficiente evolución del estatismo fue estatizar el comercio en vez de las empresas. Esto permitió mantener un mínimo de eficiencia productiva y un máximo de posibilidad de saqueo. https://t.co/3KpzFte3hA,
2020-04-18 12:42:02,"RT @LuElizabbeth: Si twitteó saqueo porque tengo ganas de twittear la palabra saqueo, me van a arrestar porque twitté saqueo aunque no para…",
2020-04-18 12:34:04,"RT @jorhurt: #ClarinTieneBonos Y TODO CAMBIEMOS TAMBIÉN, LOS COMPRARON DURANTE EL SAQUEO MACRISTA.",
2020-04-18 12:31:44,"#ClarinTieneBonos Y TODO CAMBIEMOS TAMBIÉN, LOS COMPRARON DURANTE EL SAQUEO MACRISTA.",
2020-04-18 11:56:53,RT @aleberco: #ParaMíEsChamuyo que si tuiteás saqueo te mandan la ciberpatrulla. (Saqueo saqueo saqueo saqueo saqueo saqueo saqueo),
2020-04-18 10:56:36,RT @GFrondizi: Echan a baby por pensar distinto Clausuran a maxi consumo por mandarnos al frentePonen en cana a pendejo inocente q pregun…,
2020-04-18 10:54:53,RT @MoniOeste: #saqueo @MeCagoEn_Peron te compadezco...un marido K es demasiado...!  Eso es un #saqueo también...??   #saqueo saqueo saqueo…,
2020-04-18 10:45:16,"RT @Beamarina2: @fer_andres_lope @eduardodeamaya @FiscalHonorario @Estabocaesmia12 Tambien lo creo, y bancaron a su cúpula y hasta a amigos…",
2020-04-18 9:28:15,@FerreyraCriss claro si mi mamá es la vice rectora yo también saqueo la cantina y le hago bullying a mis compañeros no? que vivo lo tuyo,
2020-04-18 8:54:37,"Si sigo despierto 15 minutos más, saqueó la heladera",
2020-04-18 6:48:56,"RT @alibrancfk: La primer pandemia la tuvimos con el SAQUEO DE MACRI , el coronavirus vino despuès en un pais arrasado por los chorros pro.…",
2020-04-18 6:42:43,@babahiano_2005 @EnvidiHada memorias del saqueo,
2020-04-18 6:32:45,@aguscheena_ Mira le armaron una causa al pibe que tuiteó saqueo. Yo creo que si te agarran sin barbijo te deben mandar a Siberia con el picahielo.,
2020-04-18 6:00:05,¿Es la hora en q de puede escribir saqueo?,
2020-04-18 5:57:50,"si pinta saqueo,yo voy x tu corazón mi amoorrrrrrr",
2020-04-18 5:34:26,@Alechaschas @OfeFernandez_ Todo el saqueo de CFK!,
